run_id,status,error,timestamp_utc,pilot_mode,condition_name,pressure_mode,requested_fraction_of_ram,actual_fraction_of_ram,requested_size_bytes,actual_size_bytes,trial_id,request_index,model_name,prompt_id,max_tokens,temperature,latency_ms,response_chars,response_digest,eval_count,eval_duration_ns,prompt_eval_count,prompt_eval_duration_ns,total_duration_ns,load_duration_ns,tokens_per_second
pilot=1|mode=mmap_random|requested=0.0500|actual_bytes=5137207296|trial=1,ok,,2026-04-05T21:12:32Z,True,mmap_random__req_0.05x__actual_0.05x,mmap_random,0.05,0.049999962127311316,5137207296,5137207296,1,3,qwen3:4b,locality_prompt_v1,64,0.0,988.028799998574,0,e3b0c44298fc1c14,64,876368200,24,14915300,986281700,91357400,73.0286653486514
pilot=1|mode=mmap_random|requested=0.0500|actual_bytes=5137207296|trial=1,ok,,2026-04-05T21:12:33Z,True,mmap_random__req_0.05x__actual_0.05x,mmap_random,0.05,0.049999962127311316,5137207296,5137207296,1,4,qwen3:4b,locality_prompt_v1,64,0.0,1027.5080000283197,0,e3b0c44298fc1c14,64,909902400,24,14732000,1025020600,97204500,70.33721418912621
pilot=1|mode=anon|requested=0.0100|actual_bytes=1027440640|trial=1,ok,,2026-04-05T21:12:39Z,True,anon__req_0.01x__actual_0.01x,anon,0.01,0.009999984452264646,1027440640,1027440640,1,0,qwen3:4b,locality_prompt_v1,64,0.0,1224.5278000482358,0,e3b0c44298fc1c14,64,1015241600,24,106258900,1222807000,97878800,63.039182003574325
pilot=1|mode=anon|requested=0.0100|actual_bytes=1027440640|trial=1,ok,,2026-04-05T21:12:40Z,True,anon__req_0.01x__actual_0.01x,anon,0.01,0.009999984452264646,1027440640,1027440640,1,1,qwen3:4b,locality_prompt_v1,64,0.0,994.35180000728,0,e3b0c44298fc1c14,64,876731100,24,14663700,992345700,96080400,72.99843703502705
pilot=1|mode=anon|requested=0.0100|actual_bytes=1027440640|trial=1,ok,,2026-04-05T21:12:41Z,True,anon__req_0.01x__actual_0.01x,anon,0.01,0.009999984452264646,1027440640,1027440640,1,2,qwen3:4b,locality_prompt_v1,64,0.0,1010.4684000252746,0,e3b0c44298fc1c14,64,896048600,24,15133800,1008698200,93318900,71.4246972764647
pilot=1|mode=anon|requested=0.0100|actual_bytes=1027440640|trial=1,ok,,2026-04-05T21:12:42Z,True,anon__req_0.01x__actual_0.01x,anon,0.01,0.009999984452264646,1027440640,1027440640,1,3,qwen3:4b,locality_prompt_v1,64,0.0,999.0739999921061,0,e3b0c44298fc1c14,64,881126300,24,14930500,997337900,96989000,72.63430906556755
pilot=1|mode=anon|requested=0.0100|actual_bytes=1027440640|trial=1,ok,,2026-04-05T21:12:43Z,True,anon__req_0.01x__actual_0.01x,anon,0.01,0.009999984452264646,1027440640,1027440640,1,4,qwen3:4b,locality_prompt_v1,64,0.0,997.0087999827228,0,e3b0c44298fc1c14,64,885512200,24,14665700,994812800,93363000,72.27455477180325
pilot=1|mode=anon|requested=0.0200|actual_bytes=2054881280|trial=1,ok,,2026-04-05T21:12:50Z,True,anon__req_0.02x__actual_0.02x,anon,0.02,0.01999996890452929,2054881280,2054881280,1,0,qwen3:4b,locality_prompt_v1,64,0.0,1355.2033999585547,0,e3b0c44298fc1c14,64,1128249100,24,124997700,1352965400,98711100,56.725061867986426
pilot=1|mode=anon|requested=0.0200|actual_bytes=2054881280|trial=1,ok,,2026-04-05T21:12:51Z,True,anon__req_0.02x__actual_0.02x,anon,0.02,0.01999996890452929,2054881280,2054881280,1,1,qwen3:4b,locality_prompt_v1,64,0.0,994.6655000094324,0,e3b0c44298fc1c14,64,881416400,24,16088200,992942600,93528900,72.61040298319841
pilot=1|mode=anon|requested=0.0200|actual_bytes=2054881280|trial=1,ok,,2026-04-05T21:12:52Z,True,anon__req_0.02x__actual_0.02x,anon,0.02,0.01999996890452929,2054881280,2054881280,1,2,qwen3:4b,locality_prompt_v1,64,0.0,988.4577000048012,0,e3b0c44298fc1c14,64,870998100,24,15460600,986807000,97079800,73.47892033289166
