model,rep,condition,mode,step,elapsed_s,prompt_sha256,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_output_tokens,campaign,prompt_tokens,generation_tokens,generation_tps,ttft_s
cloud_agent,2,quiet,agentic,0,7.9197048749774694,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,11123,7424,0,14,0,rerun_20260911,,,,
cloud_agent,2,quiet,agentic,1,5.51472154201474,59886c622511e433aaee52ba621842fe6e6966ca76c79d02660fdcc7ff996aee,12206,0,0,14,0,rerun_20260911,,,,
cloud_agent,2,quiet,agentic,2,5.279259208007716,dab9addb7e4becfb2e88312063ad3f737e0944a501d05e5c99c5bf4bb7a2638b,12345,7424,0,14,0,rerun_20260911,,,,
cloud_agent,2,quiet,agentic,3,5.296624249895103,932052f82a6e7bea86f8f056d2f34a5d59cddfb0276b9271fdef62d4b7324b0e,12522,7424,0,34,18,rerun_20260911,,,,
cloud_agent,2,quiet,agentic,4,19.69855037506204,765550c25f3e873012b86eb40fd458aa14da15c3ac1c41e317013f22516312df,12714,7424,0,478,110,rerun_20260911,,,,
4b,0,browser,one_shot,0,4.521158916992135,6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782,,,,,,rerun_20260911,1126,261,80.20637006887387,1.2583189589204267
4b,0,browser,agentic,0,0.7076800419017673,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,,,,,,rerun_20260911,281,41,84.23109211014595,0.21299425000324845
4b,0,browser,agentic,1,1.0834994169417769,219d730bcc1722f930823104e3ff9a80f8de913a17c3c92642c891e50b176438,,,,,,rerun_20260911,1114,11,87.79940779577927,0.9492925829254091
4b,0,browser,agentic,2,2.379904916975647,5eef11b6d2893427b5e7489662d009a2a83a97775704c21cd206c2c21c26351f,,,,,,rerun_20260911,1284,108,79.7634963283952,1.016843333025463
4b,0,browser,agentic,3,2.93566220800858,7f529362922afa0feb43a839c446edfcc71dfa432b4cd1d5ca1c0d770be2fac4,,,,,,rerun_20260911,1304,150,80.21588233178551,1.0561743329744786
4b,0,browser,agentic,4,1.2968504999298602,67bb8626eec845460f42c2ed6be103f8501d24f81ed48e1c23d6e82b64d0d65e,,,,,,rerun_20260911,1503,11,88.58715568359001,1.1637040419736877
4b,0,browser,agentic,5,3.1564675408881158,917d42736ca5c68ab001f65c8082c750f8a93d4757171bd64853015b2be73e0d,,,,,,rerun_20260911,1685,150,79.64724765162713,1.264109915937297
4b,0,combined,one_shot,0,4.837384333019145,6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782,,,,,,rerun_20260911,1126,261,73.52126224497475,1.279014250030741
4b,0,combined,agentic,0,0.7793139589484781,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,,,,,,rerun_20260911,281,41,76.89708382114148,0.23763300001155585
4b,0,combined,agentic,1,1.186896458035335,219d730bcc1722f930823104e3ff9a80f8de913a17c3c92642c891e50b176438,,,,,,rerun_20260911,1114,11,81.76457888188088,1.042675624950789
