model,rep,condition,mode,quiet_s,loaded_s,latency_ratio,quiet_effective_tps,loaded_effective_tps,throughput_ratio,same_prompts,exact_work_match,quiet_tokens,loaded_tokens,cache_match,quiet_cached,loaded_cached,quiet_reasoning,loaded_reasoning,cached_delta,reasoning_delta,campaign
4b,1,video,agentic,12.624380999943241,13.084114874945953,1.0364163498396302,37.308759930654624,35.997849644525196,0.9648632040151964,True,True,471,471,,,,,,,,rerun_20260911
4b,2,browser,one_shot,4.347566458047368,5.074946834007278,1.1673074771780718,60.03358488445592,51.429110202896304,0.856672316035761,True,True,261,261,,,,,,,,rerun_20260911
4b,2,browser,agentic,12.548474041977897,13.59548433299642,1.0834372599820505,37.53444430170417,34.643855890950256,0.9229883786870751,True,True,471,471,,,,,,,,rerun_20260911
4b,2,combined,one_shot,4.347566458047368,5.616481584031135,1.2918679077659638,60.03358488445592,46.470374040231725,0.7740729481617876,True,True,261,261,,,,,,,,rerun_20260911
4b,2,combined,agentic,12.548474041977897,14.916552290902473,1.1887144397799079,37.53444430170417,31.575661105499588,0.8412449336319591,True,True,471,471,,,,,,,,rerun_20260911
4b,2,fault,one_shot,4.347566458047368,4.967312082997523,1.1425500060621279,60.03358488445592,52.54350756284667,0.875235214821419,True,True,261,261,,,,,,,,rerun_20260911
4b,2,fault,agentic,12.548474041977897,13.253927250043489,1.0562182465936232,37.53444430170417,35.53663688613158,0.9467740244263618,True,True,471,471,,,,,,,,rerun_20260911
4b,2,game,one_shot,4.347566458047368,5.021842792048119,1.1550928181333864,60.03358488445592,51.97295311858084,0.8657312938850973,True,True,261,261,,,,,,,,rerun_20260911
4b,2,game,agentic,12.548474041977897,14.534838084015064,1.1582952664517028,37.53444430170417,32.40490174555094,0.8633377248129304,True,True,471,471,,,,,,,,rerun_20260911
4b,2,gpu,one_shot,4.347566458047368,25.211152250063606,5.798911297467951,60.03358488445592,10.35256133520599,0.1724461625127189,True,True,261,261,,,,,,,,rerun_20260911
4b,2,gpu,agentic,12.548474041977897,63.50984483293723,5.061160792976129,37.53444430170417,7.416173055358054,0.19758313179612835,True,True,471,471,,,,,,,,rerun_20260911
4b,2,video,one_shot,4.347566458047368,4.400610959040932,1.0122009638047922,60.03358488445592,59.309946375464705,0.9879461053278099,True,True,261,261,,,,,,,,rerun_20260911
4b,2,video,agentic,12.548474041977897,12.627517041983083,1.0062990129111131,37.53444430170417,37.29949430549586,0.9937404162875101,True,True,471,471,,,,,,,,rerun_20260911
9b,0,browser,one_shot,7.2830916659440845,8.993879083078355,1.234898515026792,36.11103801285304,29.24210983610227,0.8097831423647832,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
