stage,window,precision,operator,device,path,count,profile_unit_us,calibrated_weighted_s
decode,1024,int8,ffn_down_and_residual,GPU,plain,24,58.48699179539983,0.0005793464980691633
decode,1024,int8,final_rmsnorm,GPU,plain,1,3.9695960095548255,1.638378236117024e-06
decode,1024,int8,lm_head,GPU,plain,1,1666.3998645968018,0.0006877761022159876
decode,2048,fp16,token_embedding,GPU,plain,1,1.9735724773128067,1.3028803603600978e-06
decode,2048,fp16,pre_attention_rmsnorm,GPU,plain,24,4.106989541973514,6.507082249214197e-05
decode,2048,fp16,qkv_projection,NPU,npuw,24,66.73880510696235,0.000523497752199306
decode,2048,fp16,rotary_embedding,GPU,plain,24,5.982629912472444,9.478832246638912e-05
decode,2048,fp16,kv_cache_and_gqa_layout,GPU,plain,24,351.0635279820469,0.005562223200063899
decode,2048,fp16,scaled_dot_product_attention,GPU,plain,24,95.37564055003585,0.0015111242219826779
decode,2048,fp16,attention_output_and_residual,GPU,plain,24,24.73457611369011,0.0003918926978662085
decode,2048,fp16,ffn_rmsnorm,GPU,plain,24,5.105056832900038,8.088412293017648e-05
decode,2048,fp16,ffn_gate_projection,NPU,plain,24,108.8234696699992,0.0008536089561008758
decode,2048,fp16,ffn_up_projection,NPU,plain,24,113.5210867427204,0.000890456963408188
decode,2048,fp16,swiglu_activation,GPU,plain,24,0.0,0.0
decode,2048,fp16,ffn_down_and_residual,NPU,plain,24,100.72326506490334,0.0007900711253541912
decode,2048,fp16,final_rmsnorm,NPU,plain,1,5.5957369480501855,1.8288683457272943e-06
decode,2048,fp16,lm_head,NPU,plain,1,3291.660962483825,0.0010758215754317329
decode,2048,int8,token_embedding,GPU,plain,1,1.0082061596679814,3.057971784093709e-07
decode,2048,int8,pre_attention_rmsnorm,GPU,plain,24,2.8838717501614055,2.0992845615248436e-05
decode,2048,int8,qkv_projection,GPU,plain,24,19.225811667742704,0.00013995230410165626
decode,2048,int8,rotary_embedding,GPU,plain,24,3.7793614846545864,2.75114703582534e-05
decode,2048,int8,kv_cache_and_gqa_layout,GPU,plain,24,487.7476634950145,0.003550508582212754
decode,2048,int8,scaled_dot_product_attention,GPU,plain,24,636.9984485244889,0.0046369642083698565
decode,2048,int8,attention_output_and_residual,GPU,plain,24,13.984880704236659,0.00010180149015131332
decode,2048,int8,ffn_rmsnorm,GPU,plain,24,3.7793614846545864,2.75114703582534e-05
decode,2048,int8,ffn_gate_projection,GPU,plain,24,61.30786423999919,0.00044628424579521635
decode,2048,int8,ffn_up_projection,GPU,plain,24,62.48388792016379,0.0004548449883303828
decode,2048,int8,swiglu_activation,GPU,plain,24,0.988836519999987,7.198132996697038e-06
decode,2048,int8,ffn_down_and_residual,GPU,plain,24,57.35251815999924,0.00041749171380842814
decode,2048,int8,final_rmsnorm,GPU,plain,1,2.966509559999961,8.997666245871298e-07
decode,2048,int8,lm_head,GPU,plain,1,1681.7539437308099,0.000510089732977899
