stage,window,precision,device,concurrency,ok,tokens_per_s_median,tokens_per_s_p10,tokens_per_s_p90,requests_per_s_median,measurement_wall_s,error,performance_hint,optimal_number_of_infer_requests,compile_s_excluded
decode,128,fp16,GPU,2,True,68.13350326228117,67.99354676170184,68.13350326228117,2.1291719769462865,3.075361207127571,,THROUGHPUT,2,0.4981651809066534
decode,128,fp16,GPU,4,True,69.1291928111494,68.83991802397598,69.1291928111494,2.1602872753484186,6.0357156451791525,,THROUGHPUT,2,0.4981651809066534
decode,128,fp16,NPU,1,True,62.321975166027386,62.202561628164084,62.321975166027386,1.9475617239383558,1.913204226642847,,THROUGHPUT,1,0.2078733816742897
decode,128,fp16,NPU,2,True,65.93392328985549,65.9287242550233,65.93392328985549,2.060435102807984,3.345130566507578,,THROUGHPUT,1,0.2078733816742897
decode,128,fp16,NPU,4,True,66.8823905589718,66.78524260641817,66.8823905589718,2.090074704967869,6.468996634706855,,THROUGHPUT,1,0.2078733816742897
decode,128,int8,GPU,1,True,112.9859450135835,112.1026065875034,112.9859450135835,3.5308107816744845,1.0238386746495962,,THROUGHPUT,4,1.1612369492650032
decode,128,int8,GPU,2,True,128.31750755370513,128.16024120806404,128.31750755370513,4.009922111053285,1.701743222773075,,THROUGHPUT,4,1.1612369492650032
decode,128,int8,GPU,4,True,135.48619554218118,135.05633790878224,135.48619554218118,4.233943610693162,3.1963990591466427,,THROUGHPUT,4,1.1612369492650032
decode,128,int8,NPU,1,True,5.243807496850723,5.237896681912829,5.243807496850723,0.16386898427658508,19.525980753824115,,THROUGHPUT,1,7.384315734729171
decode,128,int8,NPU,2,False,,,,,5.257545927539468,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Exception from src/plugins/intel_npu/src/utils/src/zero/zero_wrappers.cpp:226:
L0 zeCommandQueueExecuteCommandLists result: ZE_RESULT_ERROR_UNKNOWN, code 0x7ffffffe - an action is required to complete the desired operation

",THROUGHPUT,1,7.384315734729171
decode,128,int8,NPU,4,True,5.296003103174415,5.287124381008854,5.296003103174415,0.16550009697420046,75.74887378700078,,THROUGHPUT,1,7.384315734729171
decode,512,fp16,GPU,1,False,,,,,0.2841458320617676,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Check 'args[i].index < data.outputs.size() && data.outputs[args[i].index]' failed at src/plugins/intel_gpu/src/runtime/ocl/ocl_stream.cpp:106:
The allocated output memory is necessary to set kernel arguments.

",THROUGHPUT,4,1.2269768584519625
decode,512,fp16,GPU,2,False,,,,,0.14147747308015823,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Check '!dim::is_empty(minus_one_dim)' failed at src/core/shape_inference/include/reshape_shape_inference.hpp:355:
While validating node 'opset1::Reshape reshape:__module.model/aten::index/Reshape () -> ()' with friendly_name 'reshape:__module.model/aten::index/Reshape':
Non-'-1' output dimensions do not evenly divide the input dimensions

",THROUGHPUT,4,1.2269768584519625
decode,512,fp16,GPU,4,True,71.15136397235241,70.76799644290485,71.15136397235241,2.223480124136013,6.683315398171544,,THROUGHPUT,4,1.2269768584519625
decode,512,fp16,NPU,1,True,49.98435033935981,49.65085898634243,49.98435033935981,1.562010948104994,3.194629281759262,,THROUGHPUT,1,13.709264755249023
decode,512,fp16,NPU,2,False,,,,,5.0085500702261925,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Exception from src/plugins/intel_npu/src/utils/src/zero/zero_wrappers.cpp:226:
L0 zeCommandQueueExecuteCommandLists result: ZE_RESULT_ERROR_UNKNOWN, code 0x7ffffffe - an action is required to complete the desired operation

",THROUGHPUT,1,13.709264755249023
decode,512,fp16,NPU,4,True,51.96419988417612,51.9409713968469,51.96419988417612,1.6238812463805037,10.28778563439846,,THROUGHPUT,1,13.709264755249023
decode,512,int8,GPU,1,False,,,,,0.2732607629150152,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Check 'args[i].index < data.outputs.size() && data.outputs[args[i].index]' failed at src/plugins/intel_gpu/src/runtime/ocl/ocl_stream.cpp:106:
The allocated output memory is necessary to set kernel arguments.

",THROUGHPUT,4,1.1996818464249372
