stage,window,precision,operator,winner,npu_path,gpu_us,npu_us,speedup
decode,128,fp16,attention_output_and_residual,GPU,npuw,25.005325811128877,71.41827799867458,2.856122673150259
decode,128,fp16,ffn_rmsnorm,GPU,npuw,5.012512157764949,139.46584002328333,27.823541496499907
decode,128,fp16,ffn_gate_projection,NPU,plain,116.29028206014682,113.56651152350085,1.0239839236065849
decode,128,fp16,ffn_up_projection,GPU,plain,117.57762087518452,126.78202903342346,1.0782836741356585
decode,128,fp16,swiglu_activation,GPU,plain,0.0,9.002223474423849,
decode,128,fp16,ffn_down_and_residual,NPU,plain,116.29028206014682,114.25933511222739,1.0177748885543978
decode,128,fp16,final_rmsnorm,GPU,plain,5.040715550979995,6.244672717548496,1.2388464801062684
decode,128,fp16,lm_head,GPU,plain,3462.7375183251265,3791.794135050235,1.0950278832812799
decode,128,int8,token_embedding,GPU,npuw,1.9808786044664242,11.811768748709223,5.962893799789856
decode,128,int8,pre_attention_rmsnorm,GPU,plain,3.0657125485909953,182.99475892251155,59.69077531636687
decode,128,int8,qkv_projection,GPU,plain,22.05316757046899,61.13413488836964,2.7721248973881325
decode,128,int8,rotary_embedding,GPU,npuw,5.044934273547447,7.972943905378726,1.5803860809810688
decode,128,int8,kv_cache_and_gqa_layout,NPU,npuw,38.341500478960604,11.437756478788915,3.3521871662562615
decode,128,int8,scaled_dot_product_attention,NPU,npuw,119.06044885571977,33.72671782206988,3.5301522515128863
decode,128,int8,attention_output_and_residual,NPU,npuw,15.372296160195932,9.384825828749879,1.6379948270434364
decode,128,int8,ffn_rmsnorm,GPU,npuw,4.08761673145466,45.75102591515566,11.192591899112381
decode,128,int8,ffn_gate_projection,NPU,npuw,66.59313241082631,31.967062979179275,2.0831795668622926
decode,128,int8,ffn_up_projection,NPU,npuw,68.61110612024528,24.635167800468434,2.785087833618923
decode,128,int8,swiglu_activation,GPU,npuw,1.021904182863665,65.40050499410073,63.998666500052856
decode,128,int8,ffn_down_and_residual,NPU,npuw,61.14741917266402,39.59223396503855,1.5444296279583394
decode,128,int8,final_rmsnorm,GPU,npuw,5.078218477048703,60.70809207972578,11.954604228648186
decode,128,int8,lm_head,NPU,plain,1743.5292849379978,1045.0424204325377,1.668381350698051
decode,512,fp16,token_embedding,GPU,npuw,1.9720279427559024,27.795788714305285,14.09502781966708
decode,512,fp16,pre_attention_rmsnorm,GPU,npuw,4.9626873247005925,43.693057773668805,8.8043140570628
decode,512,fp16,qkv_projection,GPU,npuw,35.05664906150391,48.383666219584406,1.3801566183550338
decode,512,fp16,rotary_embedding,GPU,npuw,5.955224789640711,13.956826794110887,2.3436271991595006
decode,512,fp16,kv_cache_and_gqa_layout,GPU,npuw,101.76247050022256,138.73924522772148,1.3633635715184218
decode,512,fp16,scaled_dot_product_attention,GPU,plain,56.86726292659496,204.33877337757133,3.593258455947398
decode,512,fp16,attention_output_and_residual,GPU,npuw,25.805974088443083,69.72296453245022,2.701814870211579
decode,512,fp16,ffn_rmsnorm,GPU,npuw,5.986027676483681,138.61946118976357,23.157170110378036
decode,512,fp16,ffn_gate_projection,NPU,plain,117.72521097084572,112.3089643657905,1.04822630709526
decode,512,fp16,ffn_up_projection,GPU,plain,116.72753969143177,122.40310891313509,1.0486223665529715
decode,512,fp16,swiglu_activation,GPU,plain,0.0,8.840224532615313,
decode,512,fp16,ffn_down_and_residual,GPU,plain,116.04701553521967,119.79622865684321,1.032307708253692
decode,512,fp16,final_rmsnorm,GPU,plain,5.0254905637973,6.120155445656755,1.2178224927423438
decode,512,fp16,lm_head,GPU,plain,3456.9309831693254,3732.1740139784342,1.0796206323323139
decode,512,int8,token_embedding,GPU,npuw,1.9431368514951954,11.914937788757257,6.1318057858812205
decode,512,int8,pre_attention_rmsnorm,GPU,plain,3.886273702990391,265.78460895105604,68.39060479619368
decode,512,int8,qkv_projection,GPU,plain,20.366889348931533,52.769402584077994,2.5909407018429316
