all_tokens_per_s_e2e,all_tokens_per_s_e2e_q25,all_tokens_per_s_e2e_q75,context_length,decode_device,decode_energy_net_psys_j,decode_energy_net_psys_j_q25,decode_energy_net_psys_j_q75,decode_ms,decode_ms_q25,decode_ms_q75,decode_tokens_per_s,decode_tokens_per_s_q25,decode_tokens_per_s_q75,e2e_speedup_vs_gpu,end_to_end_ms,end_to_end_ms_q25,end_to_end_ms_q75,energy_net_psys_j,energy_net_psys_j_q25,energy_net_psys_j_q75,energy_reduction_vs_gpu,family,fastest_e2e,handoff_plus_first_decode_ms,handoff_plus_first_decode_ms_q25,handoff_plus_first_decode_ms_q75,internal_overhead_ms,lowest_energy,mode,model,model_label,output_tokens_per_s_e2e,output_tokens_per_s_e2e_q25,output_tokens_per_s_e2e_q75,precision,prefill_device,prefill_energy_net_psys_j,prefill_energy_net_psys_j_q25,prefill_energy_net_psys_j_q75,prefill_tokens_per_s,prefill_tokens_per_s_q25,prefill_tokens_per_s_q75,repeats,route,route_label,size_b,steady_tpot_ms,steady_tpot_ms_q25,steady_tpot_ms_q75,steady_tpot_p95_ms,steady_tpot_p95_ms_q25,steady_tpot_p95_ms_q75,ttft_ms,ttft_ms_q25,ttft_ms_q75
1726.1204199499105,1716.7775325542248,1731.8799702731153,4096,NPU,16.55423022145115,16.41923236622673,16.723666444888632,720.9569350000002,717.0761485000002,736.2699080000002,20.805680993969492,20.381779865615734,20.918893179896052,0.9857290373072388,2372.951477,2365.0861325,2385.9359965000003,56.32058538076437,56.17634495377227,56.45572909818361,0.2226818314313188,Llama 3.2,False,116.282667,113.9857415,132.1389845,0.0,True,measured,llama32_1b,Llama 3.2 1B,6.742657890429338,6.7061622365399405,6.765156133879357,FP16,NPU,39.747870015777856,39.7228200815273,39.757112587545535,2476.723601352069,2473.2327086212017,2479.2185220732376,3,npu_full,Whole NPU,1.0,42.9531705,42.88008375,43.00171325,44.112806049999996,43.938638499999996,44.12715502499999,1647.3376349999999,1645.6815305,1649.6660885
1794.9898340163518,1790.6431768399943,1798.5565799333576,4096,iGPU,20.1610555627554,19.914657671449696,20.52498099053282,629.9125320000005,629.3807605000004,637.7936290000004,23.812829937474554,23.522170856323314,23.832966702447706,1.0250580322273017,2281.9070740000006,2277.3907445000004,2287.4597175000004,59.92741072206862,59.67177025899524,60.2570436438278,0.1729016160856296,Llama 3.2,True,60.345018,60.0690785,63.59227800000001,0.0,False,overhead_free_oracle,llama32_1b,Llama 3.2 1B,7.011679039126374,6.994699909531228,7.025611640364678,FP16,NPU,39.747870015777856,39.7228200815273,39.757112587545535,2476.723601352069,2473.2327086212017,2479.2185220732376,3,npu_gpu_oracle,NPU prefill + iGPU decode · oracle,1.0,39.9686285,39.96859825,40.370734,43.72544909999999,43.60656337499999,43.8626747,1647.3376349999999,1645.6815305,1649.6660885
1580.8902175759986,1579.6021242260454,1608.5107405339356,8192,iGPU,22.303028972212015,22.20002000562102,22.638878612652892,706.3308199999992,702.2937544999995,708.7003605,21.236507844865102,21.16574016738894,21.35928958761327,1.0,5181.8904999999995,5094.4118675,5186.119543499999,156.69767674481108,154.8833029194545,158.35906682980513,0.0,Llama 3.2,True,75.730897,74.952999,76.4329355,0.0,False,measured,llama32_1b,Llama 3.2 1B,3.087676206203122,3.085160398878995,3.141622540105343,FP16,iGPU,134.60066570578104,132.68328291383347,135.82319718374322,1826.810630307582,1823.4490303814532,1865.0184560200641,3,gpu_full,Whole iGPU,1.0,44.182173000000006,44.0600525,44.4365195,47.9535477,47.95155835,48.401415575,4475.55968,4385.711507,4483.825789
1547.5053532421791,1545.544093612063,1571.2440385727643,8192,NPU,18.056226767600588,17.41963888908503,18.353586211156504,818.1215230000007,816.5815080000002,829.1819885000004,18.334684491609448,18.093337313414104,18.369327745210455,0.9788822373858388,5293.681203000001,5214.8934955,5300.407297,152.65689247338162,151.03686912498998,153.24283607282825,0.025787135810635187,Llama 3.2,False,152.325229,150.367657,161.8536205,0.0,False,overhead_free_oracle,llama32_1b,Llama 3.2 1B,3.022471393051131,3.0186408078360607,3.0688360128374303,FP16,iGPU,134.60066570578104,132.68328291383347,135.82319718374322,1826.810630307582,1823.4490303814532,1865.0184560200641,3,gpu_npu_oracle,iGPU prefill + NPU decode · oracle,1.0,47.188070499999995,47.12804575,47.229930249999995,50.53907135000001,49.229488200000006,50.717617125000004,4475.55968,4385.711507,4483.825789
1376.0189132402104,1373.9251199005867,1377.7018084589924,8192,NPU,18.056226767600588,17.41963888908503,18.353586211156504,818.1215230000007,816.5815080000002,829.1819885000004,18.334684491609448,18.093337313414104,18.369327745210455,0.8704076335863977,5953.406542000001,5946.143188,5962.493084000001,124.69915985880303,121.73285955947998,125.55332830227859,0.20420543272073532,Llama 3.2,False,152.325229,150.367657,161.8536205,0.0,True,measured,llama32_1b,Llama 3.2 1B,2.687536939922286,2.6834474998058333,2.6908238446464696,FP16,NPU,106.04821420409061,103.37927334832348,107.83632996963765,1595.6787579688396,1591.0931356454546,1597.3443292742138,3,npu_full,Whole NPU,1.0,47.188070499999995,47.12804575,47.229930249999995,50.53907135000001,49.229488200000006,50.717617125000004,5123.838341,5118.5012145,5138.648222
1406.5368966068163,1402.2697355209343,1406.7952679266186,8192,iGPU,22.303028972212015,22.20002000562102,22.638878612652892,706.3308199999992,702.2937544999995,708.7003605,21.236507844865102,21.16574016738894,21.35928958761327,0.8897119363313407,5824.233989000001,5823.1645095,5842.011456,128.35124317630263,125.57929335394451,130.47520858229052,0.1808988758312724,Llama 3.2,False,75.730897,74.952999,76.4329355,0.0,False,overhead_free_oracle,llama32_1b,Llama 3.2 1B,2.747142376185188,2.738808077189325,2.747647007669177,FP16,NPU,106.04821420409061,103.37927334832348,107.83632996963765,1595.6787579688396,1591.0931356454546,1597.3443292742138,3,npu_gpu_oracle,NPU prefill + iGPU decode · oracle,1.0,44.182173000000006,44.0600525,44.4365195,47.9535477,47.95155835,48.401415575,5123.838341,5118.5012145,5138.648222
531.7407937505551,529.8852642496236,533.9052060429087,1024,iGPU,42.654333893187946,42.20031363656608,42.93508226189177,1321.456306,1319.595368,1326.969889,11.351113110507946,11.304144194500878,11.367143440480916,1.0,1925.750313,1917.974984,1932.51752,65.31244432195557,64.86409664222063,65.45618557989684,0.0,Llama 3.2,True,96.843889,95.145674,101.84947550000001,0.0,False,measured,llama32_3b,Llama 3.2 3B,8.308449902352423,8.279457253900368,8.342268844420449,FP16,iGPU,22.669455582541488,22.383034636950725,22.80752426359583,1657.851428200273,1644.6861790917592,1701.3264098583854,3,gpu_full,Whole iGPU,3.0,86.96682750000001,86.93742850000001,86.9841755,89.6742428,89.63911555,89.813657,608.015883,592.866033,612.9221520000001
490.39939548160015,483.5086558843822,491.7528769518053,1024,NPU,31.139532544070104,30.773645505810393,31.256261128958528,1470.265507,1469.4403625,1520.510402,10.202238934793973,9.875892479033057,10.207971083856268,0.9222527239684593,2088.0939280000002,2082.3625145,2118.282704,53.469603405206925,53.27340872764955,53.7773644469636,0.1813259485186275,Llama 3.2,False,109.747179,108.5420605,160.8111525,0.0,False,overhead_free_oracle,llama32_3b,Llama 3.2 3B,7.662490554400002,7.554822748193472,7.683638702371958,FP16,iGPU,22.669455582541488,22.383034636950725,22.80752426359583,1657.851428200273,1644.6861790917592,1701.3264098583854,3,gpu_npu_oracle,iGPU prefill + NPU decode · oracle,3.0,96.990364,96.97914374999999,97.06703775,97.5769649,97.54373365000001,97.886416525,608.015883,592.866033,612.9221520000001
458.1851662137208,447.95270660414803,458.8485395384448,1024,NPU,31.139532544070104,30.773645505810393,31.256261128958528,1470.265507,1469.4403625,1520.510402,10.202238934793973,9.875892479033057,10.207971083856268,0.8616701437969041,2234.904304,2231.6778894999998,2287.1490155,52.55018231241183,52.39392568172434,52.64115238927822,0.19540322127024656,Llama 3.2,False,109.747179,108.5420605,160.8111525,0.0,True,measured,llama32_3b,Llama 3.2 3B,7.159143222089387,6.999261040689813,7.1695084302882,FP16,NPU,21.592589922074502,21.384891260319687,21.71125025278034,1318.2694939817445,1314.8396666629214,1322.4355507586504,3,npu_full,Whole NPU,3.0,96.990364,96.97914374999999,97.06703775,97.5769649,97.54373365000001,97.886416525,764.6387970000001,762.237527,766.6386135
490.8692794146308,489.1139804978908,491.87631469038183,1024,iGPU,42.654333893187946,42.20031363656608,42.93508226189177,1321.456306,1319.595368,1326.969889,11.351113110507946,11.304144194500878,11.367143440480916,0.9231363949949313,2086.095103,2081.832895,2093.6085025,64.24692381526245,63.911563889346425,64.31997352221146,0.016314203483805745,Llama 3.2,False,96.843889,95.145674,101.84947550000001,0.0,False,overhead_free_oracle,llama32_3b,Llama 3.2 3B,7.669832490853606,7.642405945279544,7.685567417037216,FP16,NPU,21.592589922074502,21.384891260319687,21.71125025278034,1318.2694939817445,1314.8396666629214,1322.4355507586504,3,npu_gpu_oracle,NPU prefill + iGPU decode · oracle,3.0,86.96682750000001,86.93742850000001,86.9841755,89.6742428,89.63911555,89.813657,764.6387970000001,762.237527,766.6386135
